SENDTIME;RCVTIME
SUB;1604089152.4823365
SUBACK;1604089152.6874516
1604089159.5393143;1604089159.5504692
1604089159.7899528;1604089159.7983472
1604089160.040291;1604089160.0597205
1604089160.2905893;1604089160.3022275
1604089160.5409806;1604089160.5488498
1604089160.7913089;1604089160.7981317
1604089161.0416043;1604089161.0479991
1604089161.2919402;1604089161.3036714
1604089161.5422273;1604089161.5553334
1604089161.7927592;1604089161.8019168
1604089162.043161;1604089162.0529032
1604089162.2934544;1604089162.3020697
1604089162.543864;1604089162.562065
1604089162.7942333;1604089162.8125029
1604089163.0446086;1604089163.0615773
1604089163.294985;1604089163.301144
1604089163.5454507;1604089163.551689
1604089163.7959363;1604089163.8075333
1604089164.0462127;1604089164.0553246
1604089164.2964554;1604089164.3108509
1604089164.5470073;1604089164.5614002
1604089164.7973979;1604089164.8045807
1604089165.0477586;1604089165.0533426
1604089165.298132;1604089165.3130827
1604089165.5483167;1604089165.5565825
1604089165.79868;1604089165.811952
1604089166.04899;1604089166.0548952
1604089166.2992473;1604089166.306446
1604089166.5496855;1604089166.559725
1604089166.8000822;1604089166.8075335
1604089167.0503068;1604089167.069111
