N.SUB	N.NOTIFY	TOT TIME	AVG PUB-TO-SUB TIME	AVG PUB-PUBACK TIME	AVG SUB-SUBACK TIME	LOST NOTIFY	DUPLICATED NOTIFY	BROKER CPU	BROKER RAM	TOTAL BYTES	MQTT DATA
											
											
QOS SUBSCRIBE = 0											
QOS PUBLISH = -1											
											
1	42	12,2789068222046	0,001502922603062	0	0,200871229171753	8	0	0,024661273886952	0	6267	9547
1	36	12,0270907878876	0,001492970519596	0	4,21644282341003	14	0	0,024640195080256	0	5559	8706
1	36	12,2786200046539	0,001573741436005	0	0,200803756713867	14	0	0,024619306871628	0	5572	8749
1	38	12,027250289917	0,001446717663815	0	0,20066237449646	12	0	0,024598299714527	0	5370	8048
1	42	12,0278537273407	0,001502775010609	0	0,200778961181641	8	0	0,024577328376827	0	6183	9333
AVG	38,8	12,1279443264008	0,001503825446617		1,00391182899475	11,2		0,024619280786038		5790,2	8876,6
											
10	409	12,2621245384216	0,001165006745265	0	0,602724480628967	91	0	0,024556238960778	0	33405	53275
10	410	12,2616040706635	0,001147540194401	0	0,602296495437622	90	0	0,024535185706686	0	33555	53698
10	401	12,2626595497131	0,001139515133762	0	0,201440501213074	99	0	0,024514168521621	0	32777	52279
10	392	12,011816740036	0,001155395196649	0	0,602551531791687	108	0	0,024500059349405	0	32128	52142
10	384	12,2626619338989	0,001184540870402	0	1,00376596450806	116	0	0,024479260946911	0	29334	46824
AVG	399,2	12,2121733665466	0,001158399628096		0,602555794715881	100,8		0,02451698269708		32239,8	51643,6
											
100	4151	12,2815783023834	0,009262432205336	0	0,880466589927673	849	0	0,02461363834803	0	310081	492554
100	3767	12,2826566696167	0,009501418133157	0	0,631913189888001	1233	0	0,024748563666047	0	283507	453015
100	4307	12,2851793766022	0,009675478596551	0	0,928451681137085	693	0	0,02489306727267	0	321848	508779
100	4106	12,2806742191315	0,009966688468082	0	1,25066211223602	894	0	0,025017418134766	0	307968	489779
100	3945	12,2849335670471	0,009854651959144	0	1,32777702331543	1055	0	0,025140314129616	0	296658	474303
AVG	4055,2	12,2830044269562	0,009652133872454		1,00385411930084	944,8		0,024882600310226		304012,4	483686
											
QOS SUBSCRIBE = 0											
QOS PUBLISH = 0											
											
1	38	12,2781245708466	0,001498761929964	0	0,200663089752197	12	0	0,023454966620251	0	5997	9113
1	39	12,0249524116516	0,001313166740613	0	0,200779438018799	11	0	0,023397115521919	0	6055	9101
1	40	12,2772765159607	0,001474249362946	0	0,200696229934692	10	0	0,023368145367795	0	6264	9637
1	40	12,2772822380066	0,00147984623909	0	0,200761556625366	10	0	0,02531948437355	0	6195	9441
1	41	12,278731584549	0,001588431800284	0	4,21642160415649	9	0	0,025289464421348	0	6465	9865
AVG	39,6	12,2272734642029	0,001470891214579		1,00386438369751	10,4		0,024165835260972		6195,2	9431,4
											
10	400	12,26225233078	0,001290262956468	0	0,602523422241211	100	0	0,025198434673459	0	34955	54245
10	407	12,2619094848633	0,001218392569342	0	1,80685999393463	93	0	0,023251328757933	0	35503	54116
10	388	12,2623145580292	0,00122195365281	0	1,00350139141083	112	0	0,024742359125819	0	34220	53553
