N.SUB	N.NOTIFY	TOT TIME	AVG PUB-TO-SUB TIME	AVG PUB-PUBACK TIME	AVG SUB-SUBACK TIME	LOST NOTIFY	DUPLICATED NOTIFY	BROKER CPU	BROKER RAM	TOTAL BYTES
										
QOS SERVER = 0										
QOS CLIENT = 0										
										
1	42	12,2769522666931	0,000558836119516	0	0,200643539428711	8	0	0,006885990234165	0	6035
1	45	12,2763431072235	0,000829887390137	0	0,200521469116211	5	0	0,006879191350422	0	6440
1	46	12,2771165370941	0,000513149344403	0	0,200454950332642	4	0	0,006872472996465	0	6640
1	44	12,2761161327362	0,000520689920946	0	0,200503349304199	6	0	0,006865834739934	0	6302
1	44	12,0275030136108	0,000595818866383	0	0,200445890426636	6	0	0,006859209295072	0	6367
AVG			0,000603676328277		0,20051383972168	5,8		0,006872539723212		6356,8
										
10	461	12,2646446228027	0,000951362814685	0	0,200442218780518	39	0	0,006852463166915	0	37089
10	427	12,263866186142	0,00082951647264	0	0,402249622344971	73	0	0,006845730295543	0	34636
10	446	12,2609660625458	0,000706058317888	0	0,382086110115051	54	0	0,006838877712665	0	36010
10	447	12,2601172924042	0,000700481014049	0	0,204420065879822	53	0	0,006832038834952	0	36069
10	468	12,260694026947	0,000703417024915	0	0,581813907623291	32	0	0,006825213621331	0	37719
AVG			0,000778167128835		0,35420238494873	50,2		0,006838864726281		36304,6
										
100	4520	12,2750160694122	0,006410719968455	0	0,505837238196171	480	0	0,00681840203089	0	332680
100	4471	12,277473449707	0,006446322350357	0	0,571643588542938	529	0	0,006811604022883	0	328832
100	4559	12,0259745121002	0,006529120624993	0	0,445965738296509	441	0	0,006804819556725	0	332784
100	4387	12,2746233940125	0,006302185219182	0	0,621397523880005	613	0	0,006798048591992	0	328091
100	4463	12,2743265628815	0,006468010589537	0	0,567079367637634	537	0	0,006791291088421	0	327555
AVG			0,006431271750505		0,542384691310651	520		0,006804833058182		329988,4
										
QOS SERVER = 0										
QOS CLIENT = 1										
										
1	46	12,2920897006989	0,132416300151659	0,162091431617737	2,20417928695679	4	1	0,006989818723616	0	9294
1	47	12,2895038127899	0,086698105994691	0,162025861740112	0,200464010238647	3	2	0,006982813368263	0	9494
1	48	12,2896881103516	0,084877158204715	0,081402378082275	0,200392961502075	2	0	0,006975891193149	0	9292
1	49	12,294810295105	0,083377210461364	0,202468838691711	0,200495481491089	1	3	0,006969051745482	0	9836
1	48	14,0583460330963	0,211016227801641	0,444214611053467	0,200433731079102	2	5	0,006962225696025	0	9956
AVG			0,119677000522814	0,210440624237061	0,60119309425354	2,4	2,2	0,006975960145307		9574,4
										
10	471	12,2668025493622	0,089488370206621	0,161302714347839	0,601050758361816	29	17	0,006955206768404	0	41648
10	481	13,5511410236359	0,130532221833865	0,363217296600342	0,403996348381043	19	56	0,006948270584635	0	45937
10	474	12,2684807777405	0,09767448981603	0,201581087112427	0,801359128952026	26	25	0,006941348221508	0	42754
10	480	12,2691442966461	0,053387152406905	0,241831965446472	0,402606773376465	20	43	0,006934371304691	0	44174
10	484	13,2781755924225	0,166092615031061	0,241839957237244	0,201014089584351	16	19	0,006927408399126	0	42509
AVG			0,107434969858896	0,241954604148865	0,48200541973114	22	32	0,006941321055673		43404,4
										
100	4751	13,8025691509247	0,131723831582108	0,16142077922821	0,462532503604889	249	87	0,00692045946265	0	360077
100	4727	14,301069021225	0,134355943669946	0,201696591377258	0,57560432434082	273	230	0,006913592376087	0	362279
100	4742	14,2895698547363	0,170408905313566	0,201581077575684	0,518930771350861	258	88	0,006906603329146	0	354088
100	4694	13,5433216094971	0,136731156386506	0,282067151069641	0,489433875083923	306	357	0,006899628398585	0	370927
100	4767	13,79878282547	0,053225348790532	0,201713442802429	0,524429526329041	233	361	0,006892735055293	0	374329
AVG			0,125289037148531	0,209695808410645	0,514186200141907	263,8	224,6	0,006906603724352		364340
