SENDTIME;RCVTIME
SUB;1605267002.024917
A;1605267002.0411499
1605267009.9485335;1605267009.9767497
1605267010.1995122;1605267010.2722595
1605267010.45126;1605267010.5330017
1605267010.7046976;1605267010.7733104
1605267010.956771;1605267011.0153797
1605267011.2096012;1605267011.2531703
1605267011.4619458;1605267011.5243535
1605267011.7150278;1605267011.780819
1605267011.9675796;1605267012.0207527
1605267012.219314;1605267012.2896688
1605267012.471944;1605267012.5393019
1605267012.7249913;1605267012.7969468
1605267012.977503;1605267013.005729
1605267013.2288485;1605267013.2554653
1605267013.4848642;1605267013.5392978
1605267013.7387652;1605267013.7972054
1605267013.9900293;1605267014.0518284
1605267014.242717;1605267014.3122144
1605267014.4952822;1605267014.5713134
1605267014.7478821;1605267014.8087451
1605267015.0006237;1605267015.0464208
1605267015.2531714;1605267015.3283677
1605267015.5057845;1605267015.5566423
1605267015.759472;1605267015.826956
1605267016.0121987;1605267016.0838034
1605267016.264758;1605267016.3264885
1605267016.5173953;1605267016.5746455
1605267016.769905;1605267016.8398163
1605267017.0223176;1605267017.0882363
1605267017.274936;1605267017.3449178
1605267017.5277586;1605267017.5934002
1605267017.7807417;1605267017.8330593
1605267018.0333703;1605267018.0948975
1605267018.285862;1605267018.3512723
1605267018.53894;1605267018.6079853
1605267018.7915072;1605267018.862594
1605267019.044395;1605267019.1136415
1605267019.2968416;1605267019.3668413
1605267019.549409;1605267019.6121497
1605267019.8018274;1605267019.874557
1605267020.0546005;1605267020.1005378
1605267020.3071268;1605267020.3641753
1605267020.5598528;1605267020.6235821
1605267020.8118756;1605267020.8787248
1605267021.0643036;1605267021.1121144
1605267021.317013;1605267021.3723223
1605267021.5694947;1605267021.6406631
1605267021.821833;1605267021.8835418
1605267022.0744383;1605267022.1383436
1605267022.3267243;1605267022.3885198
