N.SUB	N.NOTIFY	TOT TIME	AVG PUB-TO-SUB TIME	AVG PUB-PUBACK TIME	AVG SUB-SUBACK TIME	LOST NOTIFY	DUPLICATED NOTIFY	BROKER CPU	BROKER RAM	TOTAL BYTES
QOS SERVER = NON										
QOS CLIENT = NON										
										
										
1	35	12,3059189319611	0,004727016176496	0	2,51047921180725	15	0	0,382905982905982	0,054700854700855	6024
1	29	12,3140499591827	0,006076385234964	0	0,01191258430481	21	0	0,419130434782608	0	5178
1	32	12,3128578662872	0,005381777882576	0	0,013027429580689	18	0	0,416949152542373	0	5615
1	34	12,0634913444519	0,005566302467795	0	2,4114818572998	16	0	0,452542372881356	0	5758
1	38	12,3140068054199	0,005442926758214	0	0,012365102767944	12	0	0,399152542372881	0	5874
AVG			0,005438881704009		0,9918532371521	16,4		0,41413609709704	0,010940170940171	5689,8
										
10	328	12,3173711299896	0,01016354926229	0	0,903854894638062	172	0	0,782051282051283	0,055555555555556	27347
10	289	12,0702147483826	0,011825564064782	0	0,948598623275757	211	0	0,718103448275862	0	23140
10	337	12,3177356719971	0,01089305924315	0	1,26935580041673	163	0	0,803389830508475	0,060169491525424	27282
10	285	12,3198883533478	0,010865558620586	0	0,590009045600891	215	0	0,713675213675214	0	24035
10	293	12,3132479190826	0,011273513252978	0	1,77349339591132	207	0	0,740517241379311	0	23652
AVG			0,011004248888757		1,09706235196855	193,6		0,751547403178029	0,023145009416196	25091,2
										
100	3250	12,3774299621582	0,044169205138978	0	0,987931897905138	1750	0	3,575	0,09051724137931	231078
100	2780	11,8780121803284	0,046624965179239	0	1,16159211961847	2220	0	3,22844827586207	0,086206896551724	208572
100	3444	12,3466815948486	0,037080041656573	0	1,70030432140704	1556	0	3,27203389830508	0,089830508474576	255759
100	3220	12,3897244930267	0,044555695437349	0	1,42079981254495	1780	0	3,73620689655172	0,09051724137931	228112
100	2802	12,3434855937958	0,034362338184582	0	1,49091143357126	2198	0	2,59237288135593	0,090677966101695	201344
AVG			0,041358449119344		1,35230791700937	1900,8		3,28081239041496	0,089549970777323	224973
										
										
QOS SERVER = NON										
QOS CLIENT = CON										
										
1	42	15,118688583374	0,603779940378098	1,43144316196442	0,012416362762451	8	0	0,4488	0	10047
1	42	20,3049278259277	0,981748370897202	2,39787662506103	0,013133049011231	8	0	0,535200000000001	0	10767
1	40	12,0798020362854	0,691204071044922	1,40678066730499	0,012412548065186	10	0	0,427777777777778	0	10081
1	38	12,3343131542206	0,287978523655942	1,44728837490082	0,012516498565674	12	0	0,4192	0	10076
1	40	14,4081213474274	0,576926994323731	1,82482047470248	0,012956857681275	10	0	0,421428571428572	0	10401
AVG			0,628327580059979	1,70164186078675	0,012687063217163	9,6		0,45048126984127		10274,4
										
10	396	17,7906367778778	0,675321016631429	1,95698589801788	1,09772928555806	104	0	0,7544	0,0416	35184
10	405	14,8683934211731	0,747307945005478	1,65544021606445	2,50853979587555	95	1	0,8672	0	37033
10	409	15,5648658275604	0,536509565616411	1,53610521793365	1,37508680820465	91	0	0,8096	0,0472	37121
10	387	17,1546456813812	0,601402002088607	1,37675948619843	0,263200733396742	113	5	0,8336	0,056	35979
10	402	21,1349172592163	0,933182064436731	1,83421526432037	1,02016110420227	98	0	0,753174603174603	0,053968253968254	35845
AVG			0,698744518755731	1,67190121650696	1,25294354544746	100,2		0,803594920634921	0,039753650793651	36232,4
										
100	3772	31,6232116222382	1,1089570447019	2,08993662834167	1,69217529644569	1228	199	3,71774193548387	0,084677419354839	290120
100	3837	20,3378159999847	0,906269513621528	1,86833170890808	1,51926010282416	1163	129	3,69838709677419	0,084677419354839	297127
100	3888	18,2286672592163	1,12601782047019	2,16737457275391	1,07723182439804	1112	59	3,0968	0,0848	286745
100	3952	17,5266025066376	0,674048696151866	1,44919688224792	1,57194547309089	1048	0	3,56693548387097	0,084677419354839	286812
100	3953	12,4340937137604	0,196189547222858	0,684254598617554	1,40295720845461	1047	55	3,116	0,0848	287741
AVG			0,802296524433667	1,65181887817383	1,45271398104268	1119,6	88,4	3,43917290322581	0,084726451612903	289709
