N.SUB	N.NOTIFY	TOT TIME	AVG PUB-TO-SUB TIME	AVG PUB-PUBACK TIME	AVG SUB-SUBACK TIME	LOST NOTIFY	DUPLICATED NOTIFY	BROKER CPU	BROKER RAM	TOTAL BYTES
										
QOS SERVER = NON										
QOS CLIENT = NON										
										
1	22	12,312548160553	0,004712332378734	0	0,012123823165894	28	0	0,129761904761906	0	3921
1	15	11,5533204078674	0,004610379536947	0	7,23619103431702	35	0	0,273517786561265	0	3189
1	17	9,80350708961487	0,005346718956442	0	0,013472557067871	33	0	0,145736434108528	0	3657
1	25	11,8092937469482	0,005230836868286	0	0,012325286865234	25	0	0,131007751937985	0	4695
1	19	11,3083834648132	0,005384244416889	0	18,5672194957733	31	0	0,162745098039216	0	3612
AVG			0,00505690243146		5,16826643943787	30,4		0,16855379508178		3814,8
										
10	213	12,33234167099	0,013414339422588	0	4,25712230205536	287	0	0,36972111553785	0	18651
10	159	12,3190188407898	0,009273410816582	0	5,01017491022746	341	0	0,382608695652175	0	14686
10	151	12,311784029007	0,008622207548343	0	3,51020399729411	349	0	0,254651162790698	0	13964
10	171	12,0752239227295	0,00935244135473	0	4,07812378141615	329	0	0,257751937984496	0	15498
10	180	12,0627028942108	0,009077955156842	0	3,55857400894165	320	0	0,286821705426357	0	16018
AVG			0,009948070859817		4,08283979998695	325,2		0,310310923478315		15763,4
										
100	2064	12,3784036636353	0,045413374055472	0	2,60152142104648	2936	0	1,64960317460317	0,081349206349207	158392
100	1705	12,1321604251862	0,041009491638706	0	4,4788362049475	3295	0	1,37091633466135	0,081274900398407	134192
100	1770	60,4926605224609	0,059164216567102	0	3,21890039741993	3230	0	1,20968992248062	0,08062015503876	137667
100	1699	12,3453891277313	0,034804951142075	0	4,53803137284291	3301	48	1,19027237354086	0,082490272373541	136274
100	1774	14,3697555065155	0,041669734743244	0	3,14229989051819	3226	0	1,41581027667984	0,082608695652174	138263
AVG			0,04441235362932		3,595917857355	3197,6		1,36725841639317	0,081668645962418	140957,6
										
										
QOS SERVER = NON										
QOS CLIENT = CON										
										
										
1	34	23,7171950340271	1,94255537145278	4,12310005293952	0,012869596481323	16	0	0,208494208494209	0	9468
1	28	16,9875214099884	2,5852895464216	8,47659218564947	7,33140373229981	22	0	0,216602316602317	0	10722
1	29	38,9213452339172	5,31629183374602	5,61531840324402	0,011901378631592	21	0	0,234765625000001	0,054296875	10198
1	34	73,8396723270416	2,96848095865811	6,03036690265574	2,56107831001282	16	0	0,26235294117647	0	11656
1	33	24,8025135993957	2,23137182177919	7,13295487562815	15,6615719795227	17	1	0,213779527559056	0	10785
AVG			3,00879790641154	6,27566648402338	5,11576499938965	18,4		0,227198923766411	0,010859375	10565,8
										
10	318	28,3467636108398	2,40081070537416	3,88828909397125	5,93379025989109	182	0	0,409302325581397	0,055038759689922	31420
10	297	46,1423325538635	2,31129370504523	7,91027534008026	2,51905080676079	203	0	0,414285714285715	0	30685
10	301	69,6881167888641	3,54431537872837	7,90502278804779	6,44182825088501	199	0	0,424806201550388	0,051937984496124	30592
10	285	40,7504942417145	2,91932105245928	6,12503980130565	5,71027387513055	215	0	0,46313725490196	0	29074
10	286	46,4609026908875	3,19409292991354	7,87294979572296	3,06271109580994	214	4	0,568253968253968	0,049603174603175	30241
AVG			2,87396675430412	6,74031536382558	4,73353085769547	202,6		0,455957092914686	0,031315983757844	30402,4
										
100	2798	18,5127015113831	1,86328426523251	3,4953195476532	4,23635074568958	2202	85	1,93151750972763	0,080933852140078	221588
100	2720	44,3087522983551	3,26661022823618	7,40914710998535	5,04509716875413	2280	115	1,65	0,081395348837209	221761
100	2799	40,4098799228668	3,14107097626586	6,97123775676805	4,63769079640854	2201	16	1,67441860465116	0,082945736434109	217604
100	2820	25,6679620742798	2,69125975067708	7,42068156719208	4,18082564771175	2180	131	1,81744186046512	0,081395348837209	226407
100	2863	55,9389100074768	1,95835104972405	6,49772809962837	4,30676999417218	2137	78	1,87120622568093	0,081322957198444	226683
AVG			2,58411525402714	6,35882281624541	4,48134687054724	2200		1,78891684010497	0,08159864868941	222808,6
